Temps,Teau,Tis,Tamb,Tcr
1000,28.199522,26.9313087,25.7851944,28.7922478
2000,28.7787437,27.4362335,25.814352,29.4165039
3000,29.3482475,27.5769691,25.8979912,30.5460033
4000,29.5310211,28.2402935,26.2198429,30.5788059
5000,30.2753792,28.6685715,26.4600601,31.0302982
6000,30.4688301,28.8329296,26.5506344,31.1480446
7000,30.6166458,28.8699608,26.6642342,31.758255
8000,30.7957058,28.8896828,26.8787537,31.8542843
9000,30.9961624,28.8959694,26.94203,31.8581696
10000,31.2806053,28.9392204,26.9447842,31.9217358
11000,31.1170959,28.9451294,27.009573,32.0469284
12000,31.2194805,28.9658184,27.1970673,32.181488
13000,31.3459244,29.0129948,27.2207184,32.2284355
14000,31.4588871,29.116396,27.3493214,32.3665085
15000,32.1086426,29.7810783,28.4987755,32.7193108
16000,33.4525185,30.4339485,28.6568184,32.8535881
17000,34.0982933,30.7034321,28.6921349,34.1016121
18000,34.4722099,30.9938602,28.7549591,35.0682259
19000,34.6816063,31.4976654,28.9839668,35.4507637
20000,37.2372589,34.191143,29.0259514,41.5129738
21000,40.8907471,35.2879372,29.0279694,42.2366447
22000,41.7906036,35.632637,29.0536461,43.5020256
23000,42.4497833,36.3292465,29.1085606,43.6690254
24000,42.3795815,36.8584175,29.2914448,43.7584305
25000,43.5405922,39.2091408,29.4821758,43.9331169
26000,44.4742661,39.7796822,29.6168041,46.9374847
27000,47.4561996,39.9060898,30.1085339,47.3799973
28000,47.2321777,40.5876846,30.4381485,47.8197937
